2026-03-21 22:25:08,682 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0592s | Status: 200
2026-03-21 22:25:08,858 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.4995s | Status: 200
2026-03-21 22:25:08,928 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.4441s | Status: 200
2026-03-21 22:25:09,066 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0707s | Status: 200
2026-03-21 22:25:09,143 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0628s | Status: 200
2026-03-21 22:25:20,629 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 12.2904s | Status: 200
2026-03-21 22:25:21,109 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.1579s | Status: 200
2026-03-21 22:25:21,221 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0453s | Status: 200
2026-03-21 22:25:21,362 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0452s | Status: 200
2026-03-21 22:25:21,608 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.0931s | Status: 200
2026-03-21 22:25:21,737 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.0485s | Status: 200
2026-03-21 22:25:22,651 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.1205s | Status: 200
2026-03-21 22:25:23,055 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.1832s | Status: 200
2026-03-21 22:25:23,334 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0762s | Status: 200
2026-03-21 22:25:28,929 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.1479s | Status: 200
2026-03-21 22:25:34,405 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.1191s | Status: 200
2026-03-21 22:25:35,197 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 14.5555s | Status: 200
2026-03-21 22:25:39,469 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 18.0009s | Status: 200
2026-03-21 22:25:41,753 - API_MONITOR - INFO - Path: /api/movies/genre/Drama | Method: GET | Latency: 0.0682s | Status: 200
